No	TMNo	EnNo	Name	INOUT	Mode	DateTime
9399	1	376		0	0	2018/05/11 16:13:47
9400	1	449		0	0	2018/05/11 16:16:05
9401	1	420		0	0	2018/05/11 16:38:04
9402	1	420		1	0	2018/05/11 16:38:38
9403	1	300		1	0	2018/05/11 16:45:24
9404	1	420		0	0	2018/05/11 16:51:58
9405	1	420		1	0	2018/05/11 16:54:36
9406	1	446		1	0	2018/05/11 16:54:38
9407	1	446		0	0	2018/05/11 16:55:58
9408	1	417		1	0	2018/05/11 17:06:03
9409	1	417		0	0	2018/05/11 17:09:08
9410	1	386		1	0	2018/05/11 17:10:11
9411	1	420		1	0	2018/05/11 17:10:47
9412	1	420		0	0	2018/05/11 17:12:02
9413	1	386		0	0	2018/05/11 17:13:35
9414	1	429		1	0	2018/05/11 17:14:43
9415	1	420		1	0	2018/05/11 17:15:04
9416	1	420		0	0	2018/05/11 17:18:14
9417	1	397		1	0	2018/05/11 17:22:23
9418	1	397		0	0	2018/05/11 17:22:54
9419	1	449		1	0	2018/05/11 17:26:50
9420	1	449		0	0	2018/05/11 17:31:25
9421	1	449		1	0	2018/05/11 17:36:47
9422	1	425		1	0	2018/05/11 17:37:51
9423	1	449		0	0	2018/05/11 17:38:26
9424	1	452		1	0	2018/05/11 17:44:09
9425	1	452		0	0	2018/05/11 17:46:46
9426	1	425		0	0	2018/05/11 17:50:00
9427	1	432		1	0	2018/05/11 17:51:00
9428	1	405		1	0	2018/05/11 17:52:02
9429	1	432		0	0	2018/05/11 17:53:16
9430	1	405		0	0	2018/05/11 17:53:58
9431	1	420		1	0	2018/05/11 18:00:03
9432	1	384		1	0	2018/05/11 18:05:14
9433	1	384		0	0	2018/05/11 18:06:10
9434	1	449		1	0	2018/05/11 18:13:36
9435	1	436		1	0	2018/05/11 18:14:00
9436	1	436		0	0	2018/05/11 18:16:05
9437	1	449		0	0	2018/05/11 18:17:21
9438	1	384		1	0	2018/05/11 18:21:39
9439	1	384		0	0	2018/05/11 18:23:45
9440	1	420		0	0	2018/05/11 18:28:35
9441	1	376		1	0	2018/05/11 18:36:04
9442	1	376		1	0	2018/05/11 18:36:06
9443	1	417		1	0	2018/05/11 18:36:30
9444	1	417		0	0	2018/05/11 18:37:25
9445	1	417		1	0	2018/05/11 18:38:53
9446	1	386		1	0	2018/05/11 18:41:07
9447	1	420		1	0	2018/05/11 18:41:49
9448	1	386		0	0	2018/05/11 18:42:50
9449	1	397		1	0	2018/05/11 18:49:32
9450	1	376		0	0	2018/05/11 18:51:37
9451	1	397		0	0	2018/05/11 18:51:43
9452	1	405		1	0	2018/05/11 18:54:26
9453	1	425		1	0	2018/05/11 18:55:45
9454	1	405		0	0	2018/05/11 19:09:56
9455	1	397		0	0	2018/05/11 19:10:15
9456	1	420		0	0	2018/05/11 19:11:03
9457	1	449		1	0	2018/05/11 19:11:31
9458	1	452		1	0	2018/05/11 19:13:12
9459	1	384		1	0	2018/05/11 19:14:55
9460	1	452		0	0	2018/05/11 19:16:15
9461	1	386		1	0	2018/05/11 19:21:52
9462	1	386		1	0	2018/05/11 19:27:54
9463	1	452		1	0	2018/05/11 19:28:08
9464	1	420		0	0	2018/05/11 19:29:05
9465	1	452		0	0	2018/05/11 19:30:25
9466	1	394		1	0	2018/05/11 19:33:10
9467	1	368		1	0	2018/05/11 19:38:36
9468	1	429		1	0	2018/05/11 19:39:12
9469	1	446		1	0	2018/05/11 19:43:11
9470	1	452		1	0	2018/05/11 19:47:24
9471	1	405		1	0	2018/05/11 19:47:55
9472	1	420		0	0	2018/05/11 19:50:17
9473	1	393		1	0	2018/05/11 19:50:56
9474	1	405		1	0	2018/05/11 19:54:12
9475	1	387		1	0	2018/05/11 19:54:14
9476	1	397		1	0	2018/05/11 19:54:16
9477	1	437		1	0	2018/05/11 19:57:50
9478	1	391		1	0	2018/05/11 20:05:44
9479	1	376		1	0	2018/05/11 20:07:04
9480	1	436		1	0	2018/05/11 20:20:17
9481	1	432		1	0	2018/05/11 20:20:20
9482	1	432		0	0	2018/05/11 20:20:22
9483	1	420		1	0	2018/05/11 20:21:34
9484	1	302		1	0	2018/05/11 20:22:54
9485	1	288		1	0	2018/05/11 20:22:58
9486	1	288		1	0	2018/05/11 20:23:00
9487	1	420		1	0	2018/05/11 20:24:41
9488	1	420		0	0	2018/05/11 20:25:40
9489	1	420		0	0	2018/05/11 20:25:42
9490	1	449		0	0	2018/05/12 09:28:45
9491	1	420		0	0	2018/05/12 09:28:47
9492	1	420		1	0	2018/05/12 09:32:12
9493	1	420		0	0	2018/05/12 09:37:20
9494	1	420		0	0	2018/05/12 09:37:38
9495	1	436		0	0	2018/05/12 09:54:43
9496	1	436		0	0	2018/05/12 09:54:43
9497	1	393		0	0	2018/05/12 09:55:57
9498	1	420		1	0	2018/05/12 09:56:27
9499	1	420		0	0	2018/05/12 09:59:57
9500	1	425		0	0	2018/05/12 10:02:55
9501	1	420		1	0	2018/05/12 10:09:34
9502	1	437		0	0	2018/05/12 10:10:37
9503	1	384		0	0	2018/05/12 10:11:15
9504	1	455		0	0	2018/05/12 10:12:13
9505	1	447		0	0	2018/05/12 10:13:04
9506	1	420		0	0	2018/05/12 10:14:29
9507	1	420		1	0	2018/05/12 10:15:45
9508	1	391		0	0	2018/05/12 10:18:18
9509	1	429		0	0	2018/05/12 10:21:50
9510	1	431		0	0	2018/05/12 10:27:25
9511	1	452		0	0	2018/05/12 10:28:44
9512	1	386		0	0	2018/05/12 10:29:32
9513	1	386		0	0	2018/05/12 10:29:37
9514	1	363		0	0	2018/05/12 10:30:01
9515	1	446		0	0	2018/05/12 10:32:48
9516	1	368		0	0	2018/05/12 10:35:09
9517	1	420		0	0	2018/05/12 10:40:26
9518	1	397		0	0	2018/05/12 10:41:03
9519	1	288		0	0	2018/05/12 10:41:46
9520	1	405		0	0	2018/05/12 10:41:49
9521	1	387		0	0	2018/05/12 10:42:25
9522	1	420		1	0	2018/05/12 10:46:23
9523	1	432		0	0	2018/05/12 10:47:22
9524	1	300		0	0	2018/05/12 10:47:53
9525	1	302		0	0	2018/05/12 10:48:57
9526	1	394		0	0	2018/05/12 11:04:18
